                                                                                            
{'loss': '0.9112', 'grad_norm': '0.6443', 'learning_rate': '1.14e-05', 'entropy': '0.8912', 'num_tokens': '8.084e+05', 'mean_token_accuracy': '0.7988', 'epoch': '0.4924'}
{'loss': '0.8942', 'grad_norm': '0.7206', 'learning_rate': '1.116e-05', 'entropy': '0.8768', 'num_tokens': '8.265e+05', 'mean_token_accuracy': '0.8028', 'epoch': '0.5031'}
{'loss': '0.8952', 'grad_norm': '0.7025', 'learning_rate': '1.092e-05', 'entropy': '0.8748', 'num_tokens': '8.438e+05', 'mean_token_accuracy': '0.8033', 'epoch': '0.5138'}
{'loss': '0.9055', 'grad_norm': '1.219', 'learning_rate': '1.068e-05', 'entropy': '0.8779', 'num_tokens': '8.626e+05', 'mean_token_accuracy': '0.7982', 'epoch': '0.5245'}
{'loss': '0.8943', 'grad_norm': '0.6646', 'learning_rate': '1.044e-05', 'entropy': '0.8741', 'num_tokens': '8.796e+05', 'mean_token_accuracy': '0.8039', 'epoch': '0.5352'}
{'loss': '0.892', 'grad_norm': '0.6938', 'learning_rate': '1.02e-05', 'entropy': '0.8855', 'num_tokens': '8.971e+05', 'mean_token_accuracy': '0.7999', 'epoch': '0.5459'}
{'loss': '0.8914', 'grad_norm': '0.8664', 'learning_rate': '9.964e-06', 'entropy': '0.8814', 'num_tokens': '9.152e+05', 'mean_token_accuracy': '0.7985', 'epoch': '0.5566'}
{'loss': '0.9107', 'grad_norm': '0.7215', 'learning_rate': '9.725e-06', 'entropy': '0.8952', 'num_tokens': '9.329e+05', 'mean_token_accuracy': '0.8004', 'epoch': '0.5673'}
{'loss': '0.8732', 'grad_norm': '0.8076', 'learning_rate': '9.485e-06', 'entropy': '0.8564', 'num_tokens': '9.493e+05', 'mean_token_accuracy': '0.805', 'epoch': '0.578'}
{'loss': '0.8746', 'grad_norm': '0.6402', 'learning_rate': '9.246e-06', 'entropy': '0.8507', 'num_tokens': '9.664e+05', 'mean_token_accuracy': '0.807', 'epoch': '0.5887'}
{'loss': '0.9', 'grad_norm': '0.6042', 'learning_rate': '9.006e-06', 'entropy': '0.8765', 'num_tokens': '9.831e+05', 'mean_token_accuracy': '0.8029', 'epoch': '0.5994'}
{'loss': '0.9184', 'grad_norm': '0.7449', 'learning_rate': '8.766e-06', 'entropy': '0.9068', 'num_tokens': '1.002e+06', 'mean_token_accuracy': '0.7943', 'epoch': '0.6101'}
{'loss': '0.8507', 'grad_norm': '0.7165', 'learning_rate': '8.527e-06', 'entropy': '0.8478', 'num_tokens': '1.019e+06', 'mean_token_accuracy': '0.811', 'epoch': '0.6208'}
{'loss': '0.9049', 'grad_norm': '0.8431', 'learning_rate': '8.287e-06', 'entropy': '0.8786', 'num_tokens': '1.038e+06', 'mean_token_accuracy': '0.7967', 'epoch': '0.6315'}
{'loss': '0.8571', 'grad_norm': '0.7143', 'learning_rate': '8.048e-06', 'entropy': '0.8589', 'num_tokens': '1.055e+06', 'mean_token_accuracy': '0.8111', 'epoch': '0.6422'}
{'loss': '0.9017', 'grad_norm': '0.7298', 'learning_rate': '7.808e-06', 'entropy': '0.8736', 'num_tokens': '1.072e+06', 'mean_token_accuracy': '0.7998', 'epoch': '0.6529'}
{'loss': '0.9308', 'grad_norm': '0.7396', 'learning_rate': '7.569e-06', 'entropy': '0.9032', 'num_tokens': '1.09e+06', 'mean_token_accuracy': '0.7996', 'epoch': '0.6636'}
{'loss': '0.8799', 'grad_norm': '0.6817', 'learning_rate': '7.329e-06', 'entropy': '0.8613', 'num_tokens': '1.107e+06', 'mean_token_accuracy': '0.8048', 'epoch': '0.6743'}
{'loss': '0.923', 'grad_norm': '0.7316', 'learning_rate': '7.09e-06', 'entropy': '0.8983', 'num_tokens': '1.124e+06', 'mean_token_accuracy': '0.794', 'epoch': '0.685'}
{'loss': '0.8438', 'grad_norm': '0.6741', 'learning_rate': '6.85e-06', 'entropy': '0.8494', 'num_tokens': '1.142e+06', 'mean_token_accuracy': '0.8128', 'epoch': '0.6957'}
{'loss': '0.8938', 'grad_norm': '0.8275', 'learning_rate': '6.611e-06', 'entropy': '0.8824', 'num_tokens': '1.159e+06', 'mean_token_accuracy': '0.8003', 'epoch': '0.7064'}
{'loss': '0.8566', 'grad_norm': '0.7044', 'learning_rate': '6.371e-06', 'entropy': '0.8353', 'num_tokens': '1.177e+06', 'mean_token_accuracy': '0.8068', 'epoch': '0.7172'}
{'loss': '0.8921', 'grad_norm': '0.7692', 'learning_rate': '6.132e-06', 'entropy': '0.8707', 'num_tokens': '1.195e+06', 'mean_token_accuracy': '0.7993', 'epoch': '0.7279'}
{'loss': '0.8848', 'grad_norm': '0.7909', 'learning_rate': '5.892e-06', 'entropy': '0.8674', 'num_tokens': '1.212e+06', 'mean_token_accuracy': '0.8045', 'epoch': '0.7386'}
{'loss': '0.8757', 'grad_norm': '0.697', 'learning_rate': '5.653e-06', 'entropy': '0.8694', 'num_tokens': '1.229e+06', 'mean_token_accuracy': '0.806', 'epoch': '0.7493'}
{'loss': '0.877', 'grad_norm': '0.7569', 'learning_rate': '5.413e-06', 'entropy': '0.8594', 'num_tokens': '1.247e+06', 'mean_token_accuracy': '0.802', 'epoch': '0.76'}
{'loss': '0.8803', 'grad_norm': '0.8317', 'learning_rate': '5.174e-06', 'entropy': '0.866', 'num_tokens': '1.264e+06', 'mean_token_accuracy': '0.8057', 'epoch': '0.7707'}
{'loss': '0.8747', 'grad_norm': '0.7917', 'learning_rate': '4.934e-06', 'entropy': '0.8607', 'num_tokens': '1.282e+06', 'mean_token_accuracy': '0.8067', 'epoch': '0.7814'}
{'loss': '0.91', 'grad_norm': '0.8408', 'learning_rate': '4.695e-06', 'entropy': '0.8887', 'num_tokens': '1.302e+06', 'mean_token_accuracy': '0.797', 'epoch': '0.7921'}
{'loss': '0.9083', 'grad_norm': '0.7217', 'learning_rate': '4.455e-06', 'entropy': '0.8904', 'num_tokens': '1.32e+06', 'mean_token_accuracy': '0.7984', 'epoch': '0.8028'}
{'loss': '0.8897', 'grad_norm': '0.8946', 'learning_rate': '4.216e-06', 'entropy': '0.8736', 'num_tokens': '1.337e+06', 'mean_token_accuracy': '0.7992', 'epoch': '0.8135'}
{'loss': '0.9014', 'grad_norm': '0.6873', 'learning_rate': '3.976e-06', 'entropy': '0.8798', 'num_tokens': '1.356e+06', 'mean_token_accuracy': '0.8007', 'epoch': '0.8242'}
{'loss': '0.8913', 'grad_norm': '0.8155', 'learning_rate': '3.737e-06', 'entropy': '0.8767', 'num_tokens': '1.373e+06', 'mean_token_accuracy': '0.8023', 'epoch': '0.8349'}
{'loss': '0.9007', 'grad_norm': '0.8534', 'learning_rate': '3.497e-06', 'entropy': '0.8799', 'num_tokens': '1.39e+06', 'mean_token_accuracy': '0.8', 'epoch': '0.8456'}
{'loss': '0.9085', 'grad_norm': '0.8368', 'learning_rate': '3.257e-06', 'entropy': '0.8932', 'num_tokens': '1.407e+06', 'mean_token_accuracy': '0.8006', 'epoch': '0.8563'}
{'loss': '0.8811', 'grad_norm': '0.7257', 'learning_rate': '3.018e-06', 'entropy': '0.8773', 'num_tokens': '1.425e+06', 'mean_token_accuracy': '0.8034', 'epoch': '0.867'}
{'loss': '0.9066', 'grad_norm': '0.7139', 'learning_rate': '2.778e-06', 'entropy': '0.8898', 'num_tokens': '1.444e+06', 'mean_token_accuracy': '0.7988', 'epoch': '0.8777'}
{'loss': '0.9018', 'grad_norm': '0.8', 'learning_rate': '2.539e-06', 'entropy': '0.8934', 'num_tokens': '1.461e+06', 'mean_token_accuracy': '0.798', 'epoch': '0.8884'}
{'loss': '0.8959', 'grad_norm': '0.8081', 'learning_rate': '2.299e-06', 'entropy': '0.8867', 'num_tokens': '1.479e+06', 'mean_token_accuracy': '0.8019', 'epoch': '0.8991'}
{'loss': '0.8854', 'grad_norm': '0.7208', 'learning_rate': '2.06e-06', 'entropy': '0.8702', 'num_tokens': '1.497e+06', 'mean_token_accuracy': '0.8025', 'epoch': '0.9098'}
{'loss': '0.8685', 'grad_norm': '0.8905', 'learning_rate': '1.82e-06', 'entropy': '0.8458', 'num_tokens': '1.514e+06', 'mean_token_accuracy': '0.8078', 'epoch': '0.9205'}
{'loss': '0.8883', 'grad_norm': '0.6799', 'learning_rate': '1.581e-06', 'entropy': '0.8688', 'num_tokens': '1.532e+06', 'mean_token_accuracy': '0.8011', 'epoch': '0.9312'}
{'loss': '0.87', 'grad_norm': '0.6681', 'learning_rate': '1.341e-06', 'entropy': '0.8499', 'num_tokens': '1.549e+06', 'mean_token_accuracy': '0.8052', 'epoch': '0.9419'}
{'loss': '0.8854', 'grad_norm': '0.6649', 'learning_rate': '1.102e-06', 'entropy': '0.8755', 'num_tokens': '1.569e+06', 'mean_token_accuracy': '0.8021', 'epoch': '0.9526'}
{'loss': '0.8545', 'grad_norm': '0.8745', 'learning_rate': '8.623e-07', 'entropy': '0.8536', 'num_tokens': '1.586e+06', 'mean_token_accuracy': '0.8124', 'epoch': '0.9633'}
{'loss': '0.8644', 'grad_norm': '0.7131', 'learning_rate': '6.228e-07', 'entropy': '0.8579', 'num_tokens': '1.604e+06', 'mean_token_accuracy': '0.8083', 'epoch': '0.974'}
{'loss': '0.8947', 'grad_norm': '0.8315', 'learning_rate': '3.832e-07', 'entropy': '0.8744', 'num_tokens': '1.622e+06', 'mean_token_accuracy': '0.8023', 'epoch': '0.9847'}
{'loss': '0.9067', 'grad_norm': '0.7154', 'learning_rate': '1.437e-07', 'entropy': '0.8841', 'num_tokens': '1.639e+06', 'mean_token_accuracy': '0.8004', 'epoch': '0.9955'}
{'train_runtime': '712.5', 'train_samples_per_second': '10.49', 'train_steps_per_second': '1.312', 'train_loss': '1.028', 'entropy': '0.9145', 'num_tokens': '1.647e+06', 'mean_token_accuracy': '0.7941', 'epoch': '1'}

[1mSaving model[0m[1;33m...[0m

[1;32mTraining complete! Model saved to models/sft-baseline[0m
